Stars,Title,Entry ID,Entry Name,Date Added,Date Modified,PDB TITLE,PDB ID,PDB CRYST1 a,PDB CRYST1 b,PDB CRYST1 c,PDB CRYST1 alpha,PDB CRYST1 beta,PDB CRYST1 gamma,PDB CRYST1 Space Group,PDB CRYST1 z,PDB CLASSIFICATION,PDB DEPOSITION DATE,PDB format version,PDB R,PDB Rfree,PDB RESOLUTION,PDB EXPDTA,PDB EXPDTA TEMPERATURE,PDB EXPDTA PH,PDB REMARK 350 Biomolecule 1 Chains,PDB REMARK 350 Biomolecule 1 Transformation 1,Source Path,Source File,Source File Index,entry id backup,prepared,prepared with version,assigned bond orders,added hydrogens,treated metals,created disulfur,ran protassign,Potential Energy-OPLS3,RMS Derivative-OPLS3,Max Derivative-OPLS3,Stretch Energy-OPLS3,Bend Energy-OPLS3,LJ-14 Energy-OPLS3,El-14 Energy-OPLS3,Van der Waals Energy-OPLS3,Electrostatic Energy-OPLS3,Dihedral Energy-OPLS3,target temperature,ran impref,grid version,gridbox xcent,gridbox ycent,gridbox zcent,gridbox xrange,gridbox yrange,gridbox zrange,gridbox ligxrange,gridbox ligyrange,gridbox ligzrange,receptor,chiral flag,version,ct enhanced stereo status,mmshare version,input,cmdline,Ionization Penalty,Ionization Penalty Charging,Ionization Penalty Neutral,State Penalty,Charging Adjusted Penalty,Tot Q,Tot abs Q,flags,Force Field,Energy,Chiralities Consistent,Chirality 1,Chirality 2,Variant,glide gridfile,glide lignum,glide rotatable bonds,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide metal,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,glide confnum,glide posenum,glide eff state penalty,tautomer probability,Chirality 3,Chemistry Notes,EZ 1,Chirality 4,Chirality 5,EZ 2,EZ 3,EZ 4,EZ 5,PM 1,Chirality 6,AtomNumChirality 1,AtomNumChirality 2,AtomNumChirality 3,AtomNumChirality 4,AtomNumChirality 5,Chirality 7,Chirality 8,Chirality 9
,1GQE - minimized,1,1gqe.1,2022/8/3 19:10,2022/8/3 19:10,POLYPEPTIDE CHAIN RELEASE FACTOR 2 (RF2) FROM ESCHERICHIA COLI,1GQE,57.388,49.893,63.144,90,107.01,90,P 1 21 1,2,TRANSLATION,22-Nov-01,3.15,0.222,0.247,1.81,X-RAY DIFFRACTION,100,7.6,A,1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000,/home/data/vip13t32/docs/SX/SPout/Bgroup_SP,Bgroup_SP_pv.maegz,1,3,TRUE,Jan-18,TRUE,TRUE,TRUE,TRUE,TRUE,-2025.089,0.085,1.6,148.412,649.803,1581.093,511.836,-3275.24,-2044.424,359.197,298,TRUE,78011,32.718,7.861,15.94,30,30,30,10,10,10,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZINC000000130404,2,BCAARO.xaa.6584,2022/8/3 19:10,2022/8/3 19:10,,,,,,,,,,,,,,,,,,,,,,/home/data/vip13t32/docs/SX/SPout/Bgroup_SP,Bgroup_SP_pv.maegz,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,1,41011,Tz1DMVtOSF1bQ0gyXVtDSDJdW0NIMl1bQ0gyXVtDQEhdMVtOSF1bQ0gyXVtDQEBIXShbT0hdKWMyW2NIXVtjSF1bY0hdW2NIXVtjSF0y,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0097,0.0097,0,0.0074,0.017,1,1,0,OPLS3,32.703,TRUE,8_R_10_2_7_9,13_S_15_12_16_14,ZINC000000130404-1,RF2codon,191830,5,-6.65,-0.369,-0.968,-1.709,-6.657,-1.142,-1.245,0,-2.147,-19.57,-11.383,0.563,0,-37.617,-30.953,13.961,12,206,0.007,,,,,,,,,,,,,,,,,,,,
,ZINC000000130400,3,BCAARO.xaa.6585,2022/8/3 19:10,2022/8/3 19:10,,,,,,,,,,,,,,,,,,,,,,/home/data/vip13t32/docs/SX/SPout/Bgroup_SP,Bgroup_SP_pv.maegz,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,1,41011,Tz1DMVtOSF1bQ0gyXVtDSDJdW0NIMl1bQ0gyXVtDQEBIXTFbTkhdW0NIMl1bQ0BASF0oW09IXSljMltjSF1bY0hdW2NIXVtjSF1bY0hdMg==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0097,0.0097,0,0.0074,0.017,1,1,0,OPLS3,32.703,TRUE,8_R_10_2_7_9,13_S_15_12_16_14,ZINC000000130400-2,RF2codon,191839,5,-6.65,-0.369,-0.968,-1.709,-6.657,-1.142,-1.245,0,-2.147,-19.57,-11.383,0.563,0,-37.617,-30.953,13.961,12,206,0.007,,,,,,,,,,,,,,,,,,,,
,ZINC000000130402,4,BCAARO.xaa.6586,2022/8/3 19:10,2022/8/3 19:10,,,,,,,,,,,,,,,,,,,,,,/home/data/vip13t32/docs/SX/SPout/Bgroup_SP,Bgroup_SP_pv.maegz,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,1,41011,Tz1DMVtOSF1bQ0gyXVtDSDJdW0NIMl1bQ0gyXVtDQEBIXTFbTkhdW0NIMl1bQ0BIXShbT0hdKWMyW2NIXVtjSF1bY0hdW2NIXVtjSF0y,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0097,0.0097,0,0.0074,0.017,1,1,0,OPLS3,32.703,TRUE,8_R_10_2_7_9,13_S_15_12_16_14,ZINC000000130402-4,RF2codon,191849,5,-6.65,-0.369,-0.968,-1.709,-6.657,-1.142,-1.245,0,-2.147,-19.57,-11.383,0.563,0,-37.617,-30.953,13.961,12,206,0.007,,,,,,,,,,,,,,,,,,,,
,ZINC000000130406,5,BCAARO.xaa.6588,2022/8/3 19:10,2022/8/3 19:10,,,,,,,,,,,,,,,,,,,,,,/home/data/vip13t32/docs/SX/SPout/Bgroup_SP,Bgroup_SP_pv.maegz,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,1,41011,Tz1DMVtOSF1bQ0gyXVtDSDJdW0NIMl1bQ0gyXVtDQEhdMVtOSF1bQ0gyXVtDQEhdKFtPSF0pYzJbY0hdW2NIXVtjSF1bY0hdW2NIXTI=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0097,0.0097,0,0.0074,0.017,1,1,0,OPLS3,32.703,TRUE,8_R_10_2_7_9,13_S_15_12_16_14,ZINC000000130406-3,RF2codon,191858,5,-6.65,-0.369,-0.968,-1.709,-6.657,-1.142,-1.245,0,-2.147,-19.57,-11.383,0.563,0,-37.617,-30.953,13.961,12,206,0.007,,,,,,,,,,,,,,,,,,,,
,ZINC000000130404,6,BCAARO.xaa.6584,2022/8/3 19:10,2022/8/3 19:10,,,,,,,,,,,,,,,,,,,,,,/home/data/vip13t32/docs/SX/SPout/Bgroup_SP,Bgroup_SP_pv.maegz,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,1,41011,Tz1DMVtOSF1bQ0gyXVtDSDJdW0NIMl1bQ0gyXVtDQEhdMVtOSF1bQ0gyXVtDQEBIXShbT0hdKWMyW2NIXVtjSF1bY0hdW2NIXVtjSF0y,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0097,0.0097,0,0.0074,0.017,1,1,0,OPLS3,27.891,TRUE,8_S_10_2_7_9,13_S_15_12_16_14,ZINC000000130404-2,RF2codon,191831,5,-6.561,-0.365,-0.955,-1.686,-6.568,-1.001,-1.249,0,-2.103,-19.193,-12.121,0.563,0,-42.7,-31.314,4.624,12,179,0.007,,,,,,,,,,,,,,,,,,,,
,ZINC000000130400,7,BCAARO.xaa.6585,2022/8/3 19:10,2022/8/3 19:10,,,,,,,,,,,,,,,,,,,,,,/home/data/vip13t32/docs/SX/SPout/Bgroup_SP,Bgroup_SP_pv.maegz,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,1,41011,Tz1DMVtOSF1bQ0gyXVtDSDJdW0NIMl1bQ0gyXVtDQEBIXTFbTkhdW0NIMl1bQ0BASF0oW09IXSljMltjSF1bY0hdW2NIXVtjSF1bY0hdMg==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0097,0.0097,0,0.0074,0.017,1,1,0,OPLS3,27.891,TRUE,8_S_10_2_7_9,13_S_15_12_16_14,ZINC000000130400-1,RF2codon,191838,5,-6.561,-0.365,-0.955,-1.686,-6.568,-1.001,-1.249,0,-2.103,-19.193,-12.121,0.563,0,-42.7,-31.314,4.624,12,179,0.007,,,,,,,,,,,,,,,,,,,,
,ZINC000000130402,8,BCAARO.xaa.6586,2022/8/3 19:10,2022/8/3 19:10,,,,,,,,,,,,,,,,,,,,,,/home/data/vip13t32/docs/SX/SPout/Bgroup_SP,Bgroup_SP_pv.maegz,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,1,41011,Tz1DMVtOSF1bQ0gyXVtDSDJdW0NIMl1bQ0gyXVtDQEBIXTFbTkhdW0NIMl1bQ0BIXShbT0hdKWMyW2NIXVtjSF1bY0hdW2NIXVtjSF0y,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0097,0.0097,0,0.0074,0.017,1,1,0,OPLS3,27.891,TRUE,8_S_10_2_7_9,13_S_15_12_16_14,ZINC000000130402-3,RF2codon,191848,5,-6.561,-0.365,-0.955,-1.686,-6.568,-1.001,-1.249,0,-2.103,-19.193,-12.121,0.563,0,-42.7,-31.314,4.624,12,179,0.007,,,,,,,,,,,,,,,,,,,,
,ZINC000000130406,9,BCAARO.xaa.6588,2022/8/3 19:10,2022/8/3 19:10,,,,,,,,,,,,,,,,,,,,,,/home/data/vip13t32/docs/SX/SPout/Bgroup_SP,Bgroup_SP_pv.maegz,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,1,41011,Tz1DMVtOSF1bQ0gyXVtDSDJdW0NIMl1bQ0gyXVtDQEhdMVtOSF1bQ0gyXVtDQEhdKFtPSF0pYzJbY0hdW2NIXVtjSF1bY0hdW2NIXTI=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0097,0.0097,0,0.0074,0.017,1,1,0,OPLS3,27.891,TRUE,8_S_10_2_7_9,13_S_15_12_16_14,ZINC000000130406-4,RF2codon,191859,5,-6.561,-0.365,-0.955,-1.686,-6.568,-1.001,-1.249,0,-2.103,-19.193,-12.121,0.563,0,-42.7,-31.314,4.624,12,179,0.007,,,,,,,,,,,,,,,,,,,,
,ZINC000003865857,10,BCAARN.xaa.4599,2022/8/3 19:10,2022/8/3 19:10,,,,,,,,,,,,,,,,,,,,,,/home/data/vip13t32/docs/SX/SPout/Bgroup_SP,Bgroup_SP_pv.maegz,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,0,1,41011,W0NIM11jMVtjSF1bY0hdW2NIXWMoW2NIXTEpW05IXVtDQEhdKFtDSDJdUzIoPU8pPU8pW0NAQEhdKFtDSDJdMilbT0hd,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0,0,0,0,0,0,0,0,OPLS3,8.181,TRUE,8_S_7_10_15_9,15_S_17_14_8_16,ZINC000003865857-1,RF2codon,213112,3,-6.338,-0.396,-0.998,-1.68,-6.338,-1.944,-0.862,0,-1.803,-18.806,-9.224,0.595,0,-36.755,-28.03,2.149,2,45,0,1,,,,,,,,,,,,,,,,,,,
